cod_mun7	municipio	abertura_rank	arrecadacao_rank	bancaria_rank	empregos_rank	indica_rank
2906105	Canápolis	0	0.5032	0.0000	0.3308	0.2085
2912608	Ibiquera	0	0.4452	0.0000	0.3895	0.2087
2924108	Pedrão	0	0.4558	0.0000	0.4160	0.2180
2900603	Aiquara	0	0.4354	0.0000	0.4411	0.2191
2915908	Itanagra	0	0.4470	0.0000	0.4334	0.2201
2922854	Nova Redenção	0	0.4922	0.0000	0.3925	0.2212
2902302	Aratuípe	0	0.4516	0.0000	0.4350	0.2217
2929750	Saubara	0	0.4896	0.0000	0.3971	0.2217
2910206	Dom Macedo Costa	0	0.4618	0.0000	0.4257	0.2219
2922805	Nova Itarana	0	0.4419	0.0000	0.4503	0.2231
2907400	Catolândia	0	0.4673	0.0000	0.4302	0.2244
2911253	Gavião	0	0.4622	0.0000	0.4352	0.2244
2900900	Almadina	0	0.4704	0.0000	0.4338	0.2260
2903953	Bom Jesus da Serra	0	0.4645	0.0000	0.4407	0.2263
2909505	Cravolândia	0	0.4622	0.0000	0.4462	0.2271
2928307	Santanópolis	0	0.4644	0.0000	0.4460	0.2276
2914208	Irajuba	0	0.4739	0.0000	0.4368	0.2277
2908804	Contendas do Sincorá	0	0.4919	0.0000	0.4191	0.2278
2919108	Lamarão	0	0.4696	0.0000	0.4419	0.2279
2907558	Caturama	0	0.5077	0.0000	0.4061	0.2285
2919009	Lajedinho	0	0.5080	0.0000	0.4088	0.2292
2929354	São José da Vitória	0	0.4763	0.0000	0.4428	0.2298
2906899	Caraíbas	0	0.5212	0.0000	0.4011	0.2306
2922201	Muniz Ferreira	0	0.4901	0.0000	0.4325	0.2307
2901957	Apuarema	0	0.4843	0.0000	0.4402	0.2311
2911501	Gongogi	0	0.4717	0.0000	0.4536	0.2313
2913309	Ichu	0	0.4835	0.0000	0.4424	0.2315
2903102	Barra do Rocha	0	0.4642	0.0000	0.4644	0.2321
2921450	Mirante	0	0.4972	0.0000	0.4352	0.2331
2933257	Vereda	0	0.4722	0.0000	0.4611	0.2333
2919603	Macajuba	0	0.4961	0.0000	0.4402	0.2341
2906402	Candeal	0	0.4782	0.0000	0.4585	0.2342
2902252	Arataca	0	0.5114	0.0000	0.4257	0.2343
2922755	Nova Ibiá	0	0.4957	0.0000	0.4419	0.2344
2931103	Tanquinho	0	0.4868	0.0000	0.4511	0.2345
2915700	Itamari	0	0.4747	0.0000	0.4633	0.2345
2920452	Mansidão	0	0.4849	0.0000	0.4558	0.2352
2900504	Érico Cardoso	0	0.4944	0.0000	0.4476	0.2355
2905156	Caetanos	0	0.5204	0.0000	0.4226	0.2357
2919959	Maetinga	0	0.5137	0.0000	0.4304	0.2360
2910776	Feira da Mata	0	0.5042	0.0000	0.4404	0.2361
