cod_mun7	municipio	abertura_rank	arrecadacao_rank	bancaria_rank	empregos_rank	indica_rank
2912608	Ibiquera	0.0000	0.4216	0.0000	0.3982	0.2050
2915908	Itanagra	0.0000	0.3752	0.0000	0.4675	0.2107
2924108	Pedrão	0.0000	0.4165	0.0000	0.4322	0.2122
2900504	Érico Cardoso	0.0000	0.5098	0.0000	0.3468	0.2142
2919009	Lajedinho	0.0000	0.4465	0.0000	0.4255	0.2180
2919108	Lamarão	0.0000	0.4254	0.0000	0.4467	0.2180
2910206	Dom Macedo Costa	0.0000	0.4637	0.0000	0.4094	0.2183
2910776	Feira da Mata	0.0000	0.4546	0.0000	0.4203	0.2187
2909505	Cravolândia	0.0000	0.4361	0.0000	0.4400	0.2190
2911253	Gavião	0.0000	0.4432	0.0000	0.4401	0.2208
2907558	Caturama	0.0000	0.4862	0.0000	0.4028	0.2222
2908804	Contendas do Sincorá	0.0000	0.4800	0.0000	0.4195	0.2249
2928307	Santanópolis	0.0000	0.4611	0.0000	0.4401	0.2253
2907400	Catolândia	0.0000	0.4717	0.0000	0.4326	0.2261
2900603	Aiquara	0.0000	0.4616	0.0000	0.4490	0.2277
2900900	Almadina	0.0000	0.4726	0.0000	0.4403	0.2282
2913309	Ichu	0.0000	0.4792	0.0000	0.4344	0.2284
2903102	Barra do Rocha	0.0000	0.4586	0.0000	0.4616	0.2301
2902302	Aratuípe	0.0000	0.4605	0.0000	0.4602	0.2302
2922201	Muniz Ferreira	0.0000	0.4725	0.0000	0.4509	0.2309
2901957	Apuarema	0.0000	0.4864	0.0000	0.4388	0.2313
2903953	Bom Jesus da Serra	0.0000	0.4773	0.0000	0.4494	0.2317
2919959	Maetinga	0.0000	0.4850	0.0000	0.4442	0.2323
2922805	Nova Itarana	0.0000	0.4781	0.0000	0.4522	0.2326
2921609	Morpará	0.0000	0.4922	0.0000	0.4392	0.2328
2922755	Nova Ibiá	0.0000	0.4856	0.0000	0.4458	0.2328
2921450	Mirante	0.0000	0.4886	0.0000	0.4492	0.2345
2929354	São José da Vitória	0.0000	0.4783	0.0000	0.4609	0.2348
2922854	Nova Redenção	0.0000	0.5079	0.0000	0.4355	0.2359
2916708	Itaquara	0.0000	0.4943	0.0000	0.4550	0.2373
2906899	Caraíbas	0.0000	0.5000	0.0000	0.4504	0.2376
2933257	Vereda	0.0000	0.4818	0.0000	0.4713	0.2383
2928950	São Domingos	0.0000	0.5054	0.0000	0.4495	0.2387
2915700	Itamari	0.0000	0.4859	0.0000	0.4708	0.2392
2926657	Ribeirão do Largo	0.0000	0.4645	0.0000	0.4941	0.2396
2918704	Lafaiete Coutinho	0.0000	0.5045	0.0000	0.4550	0.2399
2914208	Irajuba	0.0000	0.4996	0.0000	0.4612	0.2402
2905156	Caetanos	0.0000	0.5183	0.0000	0.4435	0.2404
2906402	Candeal	0.0000	0.5025	0.0000	0.4595	0.2405
2923308	Ouriçangas	0.0000	0.5143	0.0000	0.4514	0.2414
2905107	Caém	0.0000	0.4959	0.0000	0.4699	0.2415
2933174	Varzedo	0.0000	0.5080	0.0000	0.4604	0.2421
2901809	Antônio Gonçalves	0.0000	0.4979	0.0000	0.4709	0.2422
2911501	Gongogi	0.0000	0.4858	0.0000	0.4833	0.2423
2902658	Banzaê	0.0000	0.4845	0.0000	0.4847	0.2423
2904407	Brejolândia	0.0000	0.5128	0.0000	0.4582	0.2427
2931400	Teodoro Sampaio	0.0000	0.4607	0.0000	0.5121	0.2432
2918605	Jussiape	0.0000	0.5137	0.0000	0.4608	0.2436
2931103	Tanquinho	0.0000	0.5241	0.0000	0.4509	0.2437
2910305	Elísio Medrado	0.0000	0.5327	0.0000	0.4433	0.2440
2920403	Manoel Vitorino	0.0000	0.5260	0.0000	0.4500	0.2440
2920452	Mansidão	0.0000	0.5142	0.0000	0.4626	0.2442
2930758	Sítio do Mato	0.0000	0.4843	0.0000	0.4931	0.2443
2924702	Piripá	0.0000	0.5190	0.0000	0.4594	0.2446
2910909	Firmino Alves	0.0000	0.4771	0.0000	0.5015	0.2447
2918555	Jussari	0.0000	0.4948	0.0000	0.4845	0.2448
2903235	Barro Alto	0.0000	0.4987	0.0000	0.4814	0.2450
2919058	Lajedo do Tabocal	0.0000	0.5138	0.0000	0.4670	0.2452
2921054	Matina	0.0000	0.5182	0.0000	0.4630	0.2453
2920809	Marcionílio Souza	0.0000	0.5040	0.0000	0.4781	0.2455
2916609	Itapitanga	0.0000	0.4912	0.0000	0.4909	0.2455
2911659	Guajeru	0.0000	0.5242	0.0000	0.4580	0.2456
2914307	Iramaia	0.0000	0.5089	0.0000	0.4747	0.2459
