cod_mun7	municipio	abertura_rank	arrecadacao_rank	bancaria_rank	empregos_rank	indica_rank
2900603	Aiquara	0.0000	0.4086	0.0000	0.3809	0.1974
2919009	Lajedinho	0.0000	0.3967	0.0000	0.4095	0.2015
2912608	Ibiquera	0.0000	0.4150	0.0000	0.3998	0.2037
2911253	Gavião	0.0000	0.4342	0.0000	0.4377	0.2180
2924108	Pedrão	0.0000	0.4486	0.0000	0.4252	0.2184
2910206	Dom Macedo Costa	0.0000	0.4611	0.0000	0.4142	0.2188
2915908	Itanagra	0.0000	0.4364	0.0000	0.4462	0.2206
2902302	Aratuípe	0.0000	0.4491	0.0000	0.4497	0.2247
2909505	Cravolândia	0.0000	0.4588	0.0000	0.4415	0.2251
2910776	Feira da Mata	0.0000	0.4760	0.0000	0.4290	0.2262
2906899	Caraíbas	0.0000	0.5156	0.0000	0.3904	0.2265
2903953	Bom Jesus da Serra	0.0000	0.4552	0.0000	0.4523	0.2269
2918704	Lafaiete Coutinho	0.0000	0.4590	0.0000	0.4492	0.2271
2914208	Irajuba	0.0000	0.4615	0.0000	0.4527	0.2285
2907558	Caturama	0.0000	0.5055	0.0000	0.4115	0.2293
2919108	Lamarão	0.0000	0.4701	0.0000	0.4477	0.2295
2922201	Muniz Ferreira	0.0000	0.4616	0.0000	0.4564	0.2295
2900900	Almadina	0.0000	0.4716	0.0000	0.4492	0.2302
2921450	Mirante	0.0000	0.4791	0.0000	0.4421	0.2303
2907400	Catolândia	0.0000	0.4942	0.0000	0.4288	0.2307
2921609	Morpará	0.0000	0.4670	0.0000	0.4559	0.2307
2908804	Contendas do Sincorá	0.0000	0.4979	0.0000	0.4272	0.2313
2929354	São José da Vitória	0.0000	0.4694	0.0000	0.4565	0.2315
2922805	Nova Itarana	0.0000	0.4670	0.0000	0.4592	0.2315
2913309	Ichu	0.0000	0.4869	0.0000	0.4411	0.2320
2901957	Apuarema	0.0000	0.4892	0.0000	0.4413	0.2326
2922854	Nova Redenção	0.0000	0.4712	0.0000	0.4684	0.2349
2922755	Nova Ibiá	0.0000	0.4957	0.0000	0.4486	0.2361
2920452	Mansidão	0.0000	0.4855	0.0000	0.4599	0.2364
2900504	Érico Cardoso	0.0000	0.4906	0.0000	0.4552	0.2364
2919900	Macururé	0.0000	0.4629	0.0000	0.4830	0.2365
