cod_mun7	municipio	abertura_rank	arrecadacao_rank	bancaria_rank	empregos_rank	indica_rank
2927408	Salvador	0.9429	1.0000	1.0000	1.0000	0.9857
2905701	Camaçari	1.0000	0.9411	0.8561	0.8290	0.9066
2910800	Feira de Santana	0.7834	0.8904	0.8914	0.8632	0.8571
2929206	São Francisco do Conde	0.9482	0.9821	0.7520	0.6156	0.8245
2930709	Simões Filho	0.7899	0.8934	0.8105	0.7700	0.8160
2919207	Lauro de Freitas	0.6617	0.8581	0.8503	0.8674	0.8094
2913606	Ilhéus	0.8152	0.8115	0.8447	0.7643	0.8089
2903201	Barreiras	0.7816	0.8039	0.8881	0.7551	0.8072
2910057	Dias d'Ávila	0.9388	0.8129	0.7655	0.7017	0.8047
2900702	Alagoinhas	0.7448	0.8906	0.8330	0.7446	0.8032
2933307	Vitória da Conquista	0.6784	0.8447	0.8669	0.8182	0.8021
2919553	Luís Eduardo Magalhães	0.8243	0.8069	0.8518	0.7223	0.8013
2906501	Candeias	0.8610	0.8209	0.8076	0.7121	0.8004
2914802	Itabuna	0.6643	0.8082	0.8943	0.7830	0.7874
2910727	Eunápolis	0.7966	0.7824	0.8205	0.7311	0.7827
2918407	Juazeiro	0.6675	0.7978	0.8419	0.7687	0.7689
2918001	Jequié	0.6388	0.7806	0.8254	0.7465	0.7478
2922003	Mucuri	0.8660	0.6935	0.7391	0.6680	0.7416
2917508	Jacobina	0.7212	0.7311	0.8016	0.6756	0.7324
2925204	Pojuca	0.7237	0.7730	0.7543	0.6631	0.7285
2928703	Santo Antônio de Jesus	0.5729	0.7880	0.8157	0.7354	0.7280
2928901	São Desidério	0.7269	0.7103	0.7688	0.6642	0.7176
2908507	Conceição do Jacuípe	0.7596	0.7364	0.7326	0.6352	0.7160
2904605	Brumado	0.6095	0.7545	0.8037	0.6961	0.7160
2908408	Conceição do Coité	0.7139	0.6911	0.7904	0.6425	0.7095
2907509	Catu	0.6041	0.7947	0.7755	0.6539	0.7070
2916401	Itapetinga	0.6022	0.7144	0.8114	0.6987	0.7067
2909307	Correntina	0.6927	0.7463	0.7410	0.6231	0.7008
2909802	Cruz das Almas	0.5717	0.7270	0.7981	0.6905	0.6968
2904902	Cachoeira	0.7617	0.6447	0.7578	0.6042	0.6921
2907202	Casa Nova	0.6836	0.6611	0.7514	0.6502	0.6866
2925303	Porto Seguro	0.4202	0.7471	0.8274	0.7468	0.6854
2915205	Itagibá	0.7452	0.7122	0.6855	0.5703	0.6783
2929503	São Sebastião do Passé	0.5965	0.7300	0.7451	0.6295	0.6753
2914604	Irecê	0.4618	0.7474	0.8068	0.6824	0.6746
2906006	Campo Formoso	0.5380	0.7606	0.7628	0.6225	0.6710
2932903	Valença	0.4332	0.7561	0.7943	0.6991	0.6707
2914000	Ipirá	0.5236	0.6802	0.7769	0.6577	0.6596
2929305	São Gonçalo dos Campos	0.5396	0.7403	0.7432	0.6137	0.6592
2911105	Formosa do Rio Preto	0.5722	0.6254	0.7901	0.6121	0.6500
2921005	Mata de São João	0.4513	0.6848	0.7548	0.6980	0.6472
2928000	Santaluz	0.6452	0.6077	0.7610	0.5699	0.6460
2930501	Serrinha	0.3938	0.7028	0.8009	0.6799	0.6443
2901007	Amargosa	0.5599	0.6426	0.7670	0.6039	0.6433
2926301	Riachão do Jacuípe	0.5780	0.6414	0.7678	0.5849	0.6430
2920502	Maracás	0.6604	0.6083	0.7349	0.5660	0.6424
2926202	Riachão das Neves	0.6309	0.5931	0.7527	0.5843	0.6403
2919926	Madre de Deus	0.5548	0.6967	0.7275	0.5795	0.6396
2928802	Santo Estêvão	0.4680	0.6692	0.7653	0.6408	0.6358
2920601	Maragogipe	0.4595	0.7201	0.7227	0.6340	0.6341
2921104	Medeiros Neto	0.4898	0.6966	0.7642	0.5767	0.6318
2923001	Nova Viçosa	0.3949	0.7241	0.7579	0.6393	0.6290
2906907	Caravelas	0.5786	0.6889	0.6984	0.5455	0.6278
2908606	Conde	0.6192	0.5995	0.7088	0.5517	0.6198
2919504	Livramento de Nossa Senhora	0.4272	0.6677	0.7837	0.5989	0.6194
2915502	Itajuípe	0.5775	0.6289	0.6997	0.5582	0.6161
2931350	Teixeira de Freitas	0.1098	0.7821	0.8259	0.7457	0.6158
2905206	Caetité	0.3083	0.7246	0.7883	0.6379	0.6148
2927200	Ruy Barbosa	0.4755	0.6472	0.7364	0.5960	0.6138
2914703	Itaberaba	0.2951	0.6983	0.7901	0.6505	0.6085
2933208	Vera Cruz	0.4097	0.6699	0.7314	0.6181	0.6073
2911204	Gandu	0.4400	0.6481	0.7460	0.5897	0.6059
2906873	Capim Grosso	0.4252	0.6641	0.7401	0.5931	0.6056
2933000	Valente	0.4859	0.6068	0.7329	0.5651	0.5977
2925758	Presidente Tancredo Neves	0.6169	0.6051	0.6218	0.5455	0.5973
2928208	Santana	0.4999	0.6119	0.7249	0.5451	0.5955
2908903	Coração de Maria	0.5050	0.6025	0.7075	0.5497	0.5912
2901106	Amélia Rodrigues	0.4053	0.6383	0.7413	0.5733	0.5895
2929701	Sátiro Dias	0.5919	0.5468	0.6699	0.5372	0.5864
2919801	Macaúbas	0.3693	0.6365	0.7537	0.5663	0.5814
2921906	Mucugê	0.4641	0.5237	0.7430	0.5665	0.5743
2917706	Jaguarari	0.2551	0.7039	0.7298	0.6020	0.5727
2914406	Iraquara	0.3869	0.6560	0.7104	0.5168	0.5675
2924009	Paulo Afonso	0.0000	0.7433	0.8183	0.7028	0.5661
2905800	Camamu	0.3299	0.6293	0.7303	0.5688	0.5646
2911709	Guanambi	0.0000	0.7440	0.8226	0.6826	0.5623
2923357	Ourolândia	0.4030	0.6239	0.6861	0.5290	0.5605
2921708	Morro do Chapéu	0.3159	0.6137	0.7415	0.5706	0.5604
2908200	Conceição da Feira	0.3349	0.5844	0.7261	0.5755	0.5552
2912905	Ibirataia	0.3848	0.6018	0.6913	0.5413	0.5548
2904100	Boquira	0.3825	0.5753	0.7080	0.5227	0.5471
2930105	Senhor do Bonfim	0.0000	0.7156	0.8030	0.6692	0.5469
2929602	Sapeaçu	0.3616	0.5905	0.6872	0.5451	0.5461
2917300	Ituberá	0.2081	0.6524	0.7335	0.5795	0.5434
2915601	Itamaraju	0.0000	0.7189	0.7810	0.6579	0.5394
2916856	Itatim	0.3887	0.5948	0.6298	0.5310	0.5361
2903904	Bom Jesus da Lapa	0.0000	0.6913	0.7959	0.6559	0.5358
2928604	Santo Amaro	0.0000	0.6817	0.7909	0.6453	0.5295
2913903	Ipiaú	0.0000	0.6824	0.7862	0.6295	0.5245
2920007	Maiquinique	0.3860	0.5415	0.6504	0.5014	0.5198
2926608	Ribeira do Pombal	0.0000	0.6755	0.7759	0.6152	0.5166
2930774	Sobradinho	0.2376	0.5885	0.6934	0.5446	0.5160
2928109	Santa Maria da Vitória	0.0000	0.6735	0.7780	0.6093	0.5152
2910701	Euclides da Cunha	0.0000	0.6761	0.7700	0.6029	0.5122
2917607	Jaguaquara	0.0000	0.6716	0.7676	0.6016	0.5102
2929909	Seabra	0.0000	0.6640	0.7751	0.5979	0.5093
2925105	Poções	0.0000	0.6607	0.7751	0.5915	0.5068
2919306	Lençóis	0.2883	0.5408	0.6912	0.5019	0.5056
2910602	Esplanada	0.0000	0.6562	0.7542	0.6089	0.5048
2909208	Coronel João Sá	0.2511	0.5585	0.7038	0.4928	0.5015
2914653	Itabela	0.0000	0.6692	0.7284	0.6043	0.5005
2905008	Caculé	0.0000	0.6869	0.7345	0.5780	0.4998
2903706	Boa Nova	0.0000	0.5310	0.6942	0.7726	0.4994
2910503	Entre Rios	0.0000	0.6305	0.7422	0.6239	0.4991
2905602	Camacan	0.0000	0.6307	0.7612	0.6045	0.4991
2922508	Nazaré	0.0000	0.6265	0.7614	0.5897	0.4944
2913200	Ibotirama	0.0000	0.6422	0.7602	0.5727	0.4938
2907301	Castro Alves	0.0000	0.6247	0.7514	0.5989	0.4937
2931905	Tucano	0.0000	0.6360	0.7434	0.5948	0.4935
2927002	Rio Real	0.0000	0.6486	0.7396	0.5840	0.4931
2926004	Remanso	0.0000	0.6300	0.7514	0.5758	0.4893
2903276	Barrocas	0.7437	0.6618	0.0000	0.5497	0.4888
2913705	Inhambupe	0.0000	0.6286	0.7338	0.5832	0.4864
2923803	Paripiranga	0.0000	0.6544	0.7353	0.5523	0.4855
2933604	Xique-Xique	0.0000	0.5998	0.7547	0.5851	0.4849
2932200	Ubaitaba	0.0000	0.6197	0.7469	0.5675	0.4835
2902104	Araci	0.0000	0.6063	0.7471	0.5795	0.4832
2927705	Santa Cruz Cabrália	0.0000	0.6221	0.7108	0.5945	0.4818
2907806	Cícero Dantas	0.0000	0.6246	0.7476	0.5506	0.4807
2902708	Barra	0.0000	0.6147	0.7299	0.5754	0.4800
2914505	Irará	0.0000	0.6279	0.7312	0.5602	0.4798
2915809	Itambé	0.0000	0.6019	0.7441	0.5702	0.4790
2922300	Muritiba	0.0000	0.6190	0.7267	0.5666	0.4781
2921500	Monte Santo	0.0000	0.6038	0.7258	0.5800	0.4774
2925501	Prado	0.0000	0.6037	0.7230	0.5825	0.4773
2902807	Barra da Estiva	0.0000	0.6169	0.7441	0.5471	0.4770
2912103	Ibicaraí	0.0000	0.5865	0.7446	0.5759	0.4768
2902906	Barra do Choça	0.0000	0.5984	0.7269	0.5810	0.4766
2918100	Jeremoabo	0.0000	0.6005	0.7325	0.5704	0.4759
2900801	Alcobaça	0.0000	0.6057	0.7388	0.5537	0.4746
2906303	Canavieiras	0.0000	0.6078	0.7240	0.5652	0.4742
2921203	Miguel Calmon	0.0000	0.6119	0.7229	0.5543	0.4723
2926400	Riacho de Santana	0.0000	0.5893	0.7523	0.5474	0.4723
2904704	Buerarema	0.0000	0.6604	0.7089	0.5188	0.4720
2932507	Una	0.0000	0.6078	0.7071	0.5726	0.4719
2932309	Ubatã	0.0000	0.6283	0.6969	0.5594	0.4712
2914901	Itacaré	0.0000	0.5921	0.7047	0.5875	0.4711
2912202	Ibicoara	0.0000	0.6127	0.6876	0.5820	0.4706
2922409	Mutuípe	0.0000	0.6226	0.7206	0.5368	0.4700
2916005	Itanhém	0.0000	0.6020	0.7473	0.5284	0.4694
2911907	Iaçu	0.0000	0.5835	0.7208	0.5723	0.4691
2908705	Condeúba	0.0000	0.6023	0.7366	0.5367	0.4689
2916807	Itarantim	0.0000	0.5755	0.7469	0.5506	0.4682
2930154	Serra do Ramalho	0.0000	0.5910	0.7142	0.5671	0.4681
2930204	Sento Sé	0.0000	0.6107	0.7075	0.5539	0.4680
2925808	Queimadas	0.0000	0.5817	0.7388	0.5506	0.4678
2929107	São Felipe	0.0000	0.6318	0.6982	0.5398	0.4675
2923605	Paramirim	0.0000	0.5977	0.7448	0.5272	0.4674
2916104	Itaparica	0.0000	0.5873	0.7062	0.5732	0.4667
2906709	Cândido Sales	0.0000	0.6101	0.7152	0.5411	0.4666
2928406	Santa Rita de Cássia	0.0000	0.5735	0.7563	0.5367	0.4666
2932705	Uruçuca	0.0000	0.6315	0.6906	0.5410	0.4658
2917003	Itiúba	0.0000	0.5830	0.7286	0.5510	0.4657
2931004	Tanhaçu	0.0000	0.5893	0.7220	0.5482	0.4649
2917102	Itororó	0.0000	0.5827	0.7165	0.5596	0.4647
2903409	Belmonte	0.0000	0.6217	0.6954	0.5410	0.4645
2908309	Conceição do Almeida	0.0000	0.5908	0.6948	0.5677	0.4633
2913507	Iguaí	0.0000	0.5769	0.7200	0.5560	0.4632
2911600	Governador Mangabeira	0.0000	0.5901	0.6872	0.5745	0.4630
2906808	Cansanção	0.0000	0.5920	0.7079	0.5493	0.4623
2925006	Planalto	0.0000	0.5903	0.6993	0.5592	0.4622
2931053	Tanque Novo	0.0000	0.6374	0.7095	0.5004	0.4618
2908002	Coaraci	0.0000	0.5727	0.7217	0.5515	0.4615
2932804	Utinga	0.0000	0.6142	0.7035	0.5236	0.4603
2923100	Olindina	0.0000	0.6096	0.6984	0.5325	0.4601
2917201	Ituaçu	0.0000	0.5908	0.7011	0.5477	0.4599
2912806	Ibirapuã	0.0000	0.6164	0.6757	0.5463	0.4596
2932606	Urandi	0.0000	0.6047	0.7199	0.5133	0.4595
2924306	Piatã	0.0000	0.6620	0.6913	0.4843	0.4594
2916500	Itapicuru	0.0000	0.6138	0.6708	0.5516	0.4590
2909901	Curaçá	0.0000	0.5750	0.6958	0.5631	0.4585
2927507	Santa Bárbara	0.0000	0.6124	0.7006	0.5175	0.4576
2907103	Carinhanha	0.0000	0.5884	0.7155	0.5257	0.4574
2932002	Uauá	0.0000	0.5671	0.7173	0.5399	0.4561
2918357	João Dourado	0.0000	0.5879	0.7050	0.5312	0.4560
2923704	Paratinga	0.0000	0.5753	0.7059	0.5420	0.4558
2929008	São Félix	0.0000	0.5723	0.7106	0.5387	0.4554
2919702	Macarani	0.0000	0.5548	0.7186	0.5463	0.4549
2908101	Cocos	0.0000	0.5740	0.6906	0.5522	0.4542
2912301	Ibicuí	0.0000	0.5725	0.7143	0.5299	0.4542
2918803	Laje	0.0000	0.6027	0.6904	0.5193	0.4531
2922904	Nova Soure	0.0000	0.5584	0.7215	0.5303	0.4526
2911808	Guaratinga	0.0000	0.5527	0.7007	0.5537	0.4518
2924405	Pilão Arcado	0.0000	0.5692	0.7102	0.5265	0.4515
2923209	Oliveira dos Brejinhos	0.0000	0.5759	0.6996	0.5261	0.4504
2923407	Palmas de Monte Alto	0.0000	0.5737	0.7085	0.5194	0.4504
2901205	Anagé	0.0000	0.5875	0.7026	0.5111	0.4503
2932101	Ubaíra	0.0000	0.5717	0.7034	0.5244	0.4499
2905909	Campo Alegre de Lourdes	0.0000	0.5823	0.6879	0.5264	0.4492
2919157	Lapão	0.0000	0.5718	0.7010	0.5235	0.4491
2930303	Serra Dourada	0.0000	0.5636	0.7174	0.5137	0.4487
2933505	Wenceslau Guimarães	0.0000	0.5450	0.7141	0.5323	0.4478
2902609	Baixa Grande	0.0000	0.5627	0.7219	0.5061	0.4477
2919405	Licínio de Almeida	0.0000	0.5943	0.6977	0.4878	0.4449
2907905	Cipó	0.0000	0.5773	0.6979	0.5037	0.4447
2926707	Rio de Contas	0.0000	0.5536	0.7465	0.4771	0.4443
2909604	Crisópolis	0.0000	0.5551	0.6971	0.5239	0.4440
2933455	Wanderley	0.0000	0.5486	0.7322	0.4929	0.4434
2924801	Piritiba	0.0000	0.5715	0.6931	0.5091	0.4434
2910404	Encruzilhada	0.0000	0.6052	0.6885	0.4798	0.4434
2906600	Candiba	0.0000	0.5798	0.7054	0.4865	0.4429
2922102	Mundo Novo	0.0000	0.5450	0.7224	0.5030	0.4426
2901403	Angical	0.0000	0.5352	0.7167	0.5172	0.4423
2920106	Mairi	0.0000	0.5416	0.7170	0.5100	0.4422
2922706	Nova Canaã	0.0000	0.5222	0.7376	0.5074	0.4418
2912707	Ibirapitanga	0.0000	0.5770	0.6711	0.5188	0.4417
2912004	Ibiassucê	0.0000	0.5680	0.7037	0.4919	0.4409
2931202	Taperoá	0.0000	0.5549	0.6875	0.5209	0.4408
2903508	Belo Campo	0.0000	0.5626	0.6978	0.4986	0.4397
2917359	Jaborandi	0.5642	0.6363	0.0000	0.5578	0.4396
2905305	Cafarnaum	0.0000	0.5607	0.6843	0.5124	0.4393
2925253	Ponto Novo	0.0000	0.5386	0.6800	0.5377	0.4391
