cod_mun7	municipio	abertura_rank	arrecadacao_rank	bancaria_rank	empregos_rank	indica_rank
2924108	Pedrão	0.0000	0.4130	0.0000	0.4258	0.2097
2919009	Lajedinho	0.0000	0.4690	0.0000	0.3786	0.2119
2911253	Gavião	0.0000	0.4122	0.0000	0.4383	0.2126
2906899	Caraíbas	0.0000	0.4918	0.0000	0.3598	0.2129
2912608	Ibiquera	0.0000	0.4562	0.0000	0.3976	0.2135
2918704	Lafaiete Coutinho	0.0000	0.4226	0.0000	0.4441	0.2167
2910206	Dom Macedo Costa	0.0000	0.4536	0.0000	0.4205	0.2185
2907558	Caturama	0.0000	0.4745	0.0000	0.4014	0.2190
2919108	Lamarão	0.0000	0.4427	0.0000	0.4458	0.2221
2907400	Catolândia	0.0000	0.4606	0.0000	0.4330	0.2234
2900900	Almadina	0.0000	0.4416	0.0000	0.4546	0.2241
2915908	Itanagra	0.0000	0.4595	0.0000	0.4431	0.2256
2903953	Bom Jesus da Serra	0.0000	0.4526	0.0000	0.4525	0.2263
2909505	Cravolândia	0.0000	0.4622	0.0000	0.4455	0.2269
2921450	Mirante	0.0000	0.4810	0.0000	0.4297	0.2277
2922805	Nova Itarana	0.0000	0.4671	0.0000	0.4475	0.2286
2900603	Aiquara	0.0000	0.4554	0.0000	0.4613	0.2292
2928307	Santanópolis	0.0000	0.4805	0.0000	0.4411	0.2304
2919603	Macajuba	0.0000	0.4838	0.0000	0.4379	0.2304
2922201	Muniz Ferreira	0.0000	0.4740	0.0000	0.4482	0.2306
2902302	Aratuípe	0.0000	0.4734	0.0000	0.4493	0.2307
2921609	Morpará	0.0000	0.4763	0.0000	0.4517	0.2320
2908804	Contendas do Sincorá	0.0000	0.4955	0.0000	0.4328	0.2321
2929354	São José da Vitória	0.0000	0.4733	0.0000	0.4592	0.2331
2916708	Itaquara	0.0000	0.4738	0.0000	0.4600	0.2335
2903102	Barra do Rocha	0.0000	0.4434	0.0000	0.4934	0.2342
2910776	Feira da Mata	0.0000	0.5057	0.0000	0.4316	0.2343
2915700	Itamari	0.0000	0.4759	0.0000	0.4618	0.2344
2919959	Maetinga	0.0000	0.5073	0.0000	0.4308	0.2345
2901502	Anguera	0.0000	0.4751	0.0000	0.4640	0.2348
2900504	Érico Cardoso	0.0000	0.4936	0.0000	0.4455	0.2348
2913309	Ichu	0.0000	0.4987	0.0000	0.4409	0.2349
2914208	Irajuba	0.0000	0.4880	0.0000	0.4523	0.2351
2910909	Firmino Alves	0.0000	0.4740	0.0000	0.4671	0.2353
2920452	Mansidão	0.0000	0.4849	0.0000	0.4577	0.2357
2922854	Nova Redenção	0.0000	0.4793	0.0000	0.4636	0.2357
2911501	Gongogi	0.0000	0.4795	0.0000	0.4642	0.2359
2918555	Jussari	0.0000	0.4719	0.0000	0.4753	0.2368
2933257	Vereda	0.0000	0.4983	0.0000	0.4500	0.2371
2910305	Elísio Medrado	0.0000	0.5140	0.0000	0.4376	0.2379
2901957	Apuarema	0.0000	0.5124	0.0000	0.4427	0.2388
2917904	Jandaíra	0.0000	0.4797	0.0000	0.4756	0.2388
2901700	Antônio Cardoso	0.0000	0.4708	0.0000	0.4846	0.2388
2915353	Itaguaçu da Bahia	0.0000	0.4970	0.0000	0.4589	0.2390
2924702	Piripá	0.0000	0.5047	0.0000	0.4539	0.2396
2919900	Macururé	0.0000	0.4687	0.0000	0.4915	0.2400
2923050	Novo Triunfo	0.0000	0.4854	0.0000	0.4767	0.2405
2905156	Caetanos	0.0000	0.5208	0.0000	0.4423	0.2408
2918456	Jucuruçu	0.0000	0.4901	0.0000	0.4742	0.2411
2914307	Iramaia	0.0000	0.4918	0.0000	0.4727	0.2411
2924678	Piraí do Norte	0.0000	0.5021	0.0000	0.4664	0.2421
2923308	Ouriçangas	0.0000	0.5131	0.0000	0.4571	0.2426
2921054	Matina	0.0000	0.5082	0.0000	0.4632	0.2428
2907004	Cardeal da Silva	0.0000	0.5207	0.0000	0.4517	0.2431
2904407	Brejolândia	0.0000	0.5166	0.0000	0.4569	0.2434
2933174	Varzedo	0.0000	0.5008	0.0000	0.4753	0.2440
2930758	Sítio do Mato	0.0000	0.4881	0.0000	0.4897	0.2444
2901809	Antônio Gonçalves	0.0000	0.5054	0.0000	0.4731	0.2446
2920809	Marcionílio Souza	0.0000	0.5041	0.0000	0.4774	0.2454
2903235	Barro Alto	0.0000	0.5020	0.0000	0.4795	0.2454
2918605	Jussiape	0.0000	0.5462	0.0000	0.4374	0.2459
2902252	Arataca	0.0000	0.4951	0.0000	0.4895	0.2462
2906105	Canápolis	0.0000	0.5046	0.0000	0.4803	0.2462
2902658	Banzaê	0.0000	0.5098	0.0000	0.4766	0.2466
2905503	Caldeirão Grande	0.0000	0.5045	0.0000	0.4826	0.2468
2926657	Ribeirão do Largo	0.0000	0.4948	0.0000	0.4933	0.2470
2919058	Lajedo do Tabocal	0.0000	0.5159	0.0000	0.4739	0.2475
2928950	São Domingos	0.0000	0.5348	0.0000	0.4557	0.2476
2909000	Cordeiros	0.0000	0.5234	0.0000	0.4696	0.2482
2903300	Barro Preto	0.0000	0.5184	0.0000	0.4764	0.2487
2925931	Quixabeira	0.0000	0.5215	0.0000	0.4745	0.2490
2929370	São José do Jacuípe	0.0000	0.5359	0.0000	0.4626	0.2496
2923902	Pau Brasil	0.0000	0.5111	0.0000	0.4914	0.2506
2928505	Santa Terezinha	0.0000	0.5342	0.0000	0.4700	0.2510
2924652	Pintadas	0.0000	0.5219	0.0000	0.4827	0.2512
2900108	Abaíra	0.0000	0.5185	0.0000	0.4874	0.2515
2911659	Guajeru	0.0000	0.5410	0.0000	0.4655	0.2516
2930006	Sebastião Laranjeiras	0.0000	0.5289	0.0000	0.4784	0.2518
2922052	Mulungu do Morro	0.0000	0.5259	0.0000	0.4848	0.2527
2906857	Capela do Alto Alegre	0.0000	0.5301	0.0000	0.4816	0.2529
2909703	Cristópolis	0.0000	0.5453	0.0000	0.4666	0.2530
2906824	Canudos	0.0000	0.5338	0.0000	0.4789	0.2532
2920403	Manoel Vitorino	0.0000	0.5265	0.0000	0.4890	0.2539
2930766	Sítio do Quinto	0.0000	0.5314	0.0000	0.4844	0.2539
2913002	Ibitiara	0.0000	0.5507	0.0000	0.4659	0.2541
2915007	Itaeté	0.0000	0.5375	0.0000	0.4834	0.2552
2922730	Nova Fátima	0.0000	0.5646	0.0000	0.4604	0.2562
2928059	Santa Luzia	0.0000	0.5326	0.0000	0.4937	0.2566
2918209	Jiquiriçá	0.0000	0.5353	0.0000	0.4916	0.2567
2924058	Pé de Serra	0.0000	0.5413	0.0000	0.4876	0.2572
2911857	Heliópolis	0.0000	0.5486	0.0000	0.4815	0.2575
2923035	Novo Horizonte	0.0000	0.5782	0.0000	0.4528	0.2577
2933059	Várzea da Roça	0.0000	0.5372	0.0000	0.4973	0.2586
2929404	São Miguel das Matas	0.0000	0.5543	0.0000	0.4809	0.2588
2933158	Várzea Nova	0.0000	0.5491	0.0000	0.4863	0.2588
2922755	Nova Ibiá	0.0000	0.5852	0.0000	0.4509	0.2590
2902054	Araçás	0.0000	0.5387	0.0000	0.4997	0.2596
2929750	Saubara	0.0000	0.5595	0.0000	0.4824	0.2605
2927309	Salinas da Margarida	0.0000	0.5466	0.0000	0.4980	0.2611
2933109	Várzea do Poço	0.0000	0.5958	0.0000	0.4495	0.2613
2918753	Lagoa Real	0.0000	0.5649	0.0000	0.4816	0.2616
2911402	Glória	0.0000	0.5480	0.0000	0.4993	0.2618
2925956	Rafael Jambeiro	0.0000	0.5315	0.0000	0.5179	0.2624
2912509	Ibipitanga	0.0000	0.5720	0.0000	0.4778	0.2625
2902401	Aurelino Leal	0.0000	0.5534	0.0000	0.4966	0.2625
2904852	Cabaceiras do Paraguaçu	0.0000	0.5413	0.0000	0.5089	0.2625
2932457	Umburanas	0.0000	0.5824	0.0000	0.4718	0.2635
2902005	Aracatu	0.0000	0.5367	0.0000	0.5211	0.2645
2920908	Mascote	0.0000	0.5512	0.0000	0.5068	0.2645
2922250	Muquém do São Francisco	0.0000	0.5671	0.0000	0.4917	0.2647
2910859	Filadélfia	0.0000	0.5619	0.0000	0.5039	0.2665
2909406	Cotegipe	0.0000	0.5927	0.0000	0.4840	0.2692
2916302	Itapebi	0.0000	0.5887	0.0000	0.4934	0.2705
2910750	Fátima	0.0000	0.5793	0.0000	0.5043	0.2709
2931509	Teofilândia	0.0000	0.5653	0.0000	0.5236	0.2722
2930907	Tabocas do Brejo Velho	0.0570	0.5448	0.0000	0.4939	0.2739
2906204	Canarana	0.0000	0.5815	0.0000	0.5272	0.2772
2920700	Maraú	0.0000	0.5705	0.0000	0.5460	0.2791
2902203	Aramari	0.0000	0.6321	0.0000	0.4899	0.2805
2911303	Gentio do Ouro	0.1539	0.5161	0.0000	0.4661	0.2840
2905404	Cairu	0.0000	0.5815	0.0000	0.5783	0.2899
2901353	Andorinha	0.0000	0.6474	0.0000	0.5529	0.3001
2918902	Lajedão	0.0000	0.7223	0.0000	0.4981	0.3051
2922656	Nordestina	0.2358	0.5225	0.0000	0.4733	0.3079
2913408	Igaporã	0.1802	0.5803	0.0000	0.5009	0.3153
2917805	Jaguaripe	0.3753	0.5239	0.0000	0.4978	0.3492
2931707	Terra Nova	0.3745	0.5645	0.0000	0.5329	0.3680
2924900	Planaltino	0.0000	0.4884	0.6285	0.4334	0.3876
2927804	Santa Cruz da Vitória	0.0000	0.4943	0.6058	0.4606	0.3902
2913457	Igrapiúna	0.3348	0.6914	0.0000	0.5495	0.3939
2907707	Chorrochó	0.0000	0.4841	0.6421	0.4566	0.3957
2929057	São Félix do Coribe	0.4599	0.5992	0.0000	0.5322	0.3978
2910008	Dário Meira	0.0000	0.4857	0.6196	0.4890	0.3985
2904803	Caatiba	0.0000	0.4734	0.6284	0.4924	0.3986
2906402	Candeal	0.0000	0.4792	0.6653	0.4580	0.4006
2933406	Wagner	0.0000	0.4965	0.6616	0.4473	0.4014
2904506	Brotas de Macaúbas	0.0000	0.5120	0.6446	0.4536	0.4026
2931400	Teodoro Sampaio	0.0000	0.4846	0.6663	0.4673	0.4046
2911006	Floresta Azul	0.0000	0.5639	0.5909	0.4680	0.4057
2929255	São Gabriel	0.0000	0.5398	0.6092	0.4794	0.4071
2905107	Caém	0.0000	0.4921	0.6632	0.4745	0.4074
2916609	Itapitanga	0.0000	0.4791	0.6540	0.4972	0.4076
2924207	Pedro Alexandre	0.0000	0.5109	0.6229	0.4968	0.4077
2901155	América Dourada	0.0000	0.4881	0.6589	0.4857	0.4082
2920304	Malhada de Pedras	0.0000	0.5169	0.6565	0.4653	0.4097
2927101	Rodelas	0.0000	0.5377	0.6523	0.4530	0.4107
2925709	Presidente Jânio Quadros	0.0000	0.5235	0.6671	0.4525	0.4108
2927903	Santa Inês	0.0000	0.5277	0.6562	0.4646	0.4122
2910107	Dom Basílio	0.0000	0.5751	0.6024	0.4718	0.4123
2913804	Ipecaetá	0.0000	0.4937	0.6467	0.5089	0.4123
2915403	Itaju do Colônia	0.0000	0.5564	0.6205	0.4746	0.4129
2922607	Nilo Peçanha	0.0000	0.5226	0.6473	0.4831	0.4132
2904753	Buritirama	0.0000	0.5242	0.6244	0.5098	0.4146
2926509	Ribeira do Amparo	0.0000	0.4861	0.6621	0.5114	0.4149
2927606	Santa Brígida	0.0000	0.5513	0.6211	0.4877	0.4150
2925402	Potiraguá	0.0000	0.5246	0.6381	0.5015	0.4160
2931103	Tanquinho	0.0000	0.5588	0.6663	0.4453	0.4176
2909109	Coribe	0.0000	0.5430	0.6559	0.4718	0.4177
2931301	Tapiramutá	0.0000	0.5361	0.6487	0.4870	0.4179
2921302	Milagres	0.0000	0.5289	0.6388	0.5127	0.4201
2926103	Retirolândia	0.5950	0.5655	0.0000	0.5199	0.4201
2931608	Teolândia	0.0000	0.5394	0.6405	0.5012	0.4203
2918506	Jussara	0.0000	0.5419	0.6700	0.4693	0.4203
2930808	Souto Soares	0.0000	0.5330	0.6793	0.4703	0.4206
2929800	Saúde	0.0000	0.5100	0.6903	0.4839	0.4210
2912400	Ibipeba	0.0000	0.5425	0.6590	0.4848	0.4216
2904001	Boninal	0.0000	0.5205	0.6940	0.4719	0.4216
2932408	Uibaí	0.0000	0.5265	0.6856	0.4763	0.4221
2901908	Aporá	0.0000	0.5227	0.6752	0.4965	0.4236
2923506	Palmeiras	0.0000	0.5806	0.6533	0.4624	0.4241
2913101	Ibititá	0.0000	0.5218	0.6851	0.4910	0.4245
2924504	Pindaí	0.0000	0.5831	0.6543	0.4610	0.4246
2926905	Rio do Pires	0.0000	0.5504	0.6831	0.4659	0.4249
2904209	Botuporã	0.0000	0.5684	0.6882	0.4429	0.4249
2900355	Adustina	0.0000	0.5314	0.6984	0.4698	0.4249
2915106	Itagi	0.0000	0.5302	0.6775	0.4920	0.4249
2903706	Boa Nova	0.0000	0.5145	0.6892	0.4970	0.4252
2903607	Biritinga	0.0000	0.5309	0.6678	0.5022	0.4252
2907608	Central	0.0000	0.5267	0.6743	0.5009	0.4255
2915304	Itagimirim	0.0000	0.5532	0.6606	0.4885	0.4256
2917409	Jacaraci	0.0000	0.5469	0.6868	0.4704	0.4261
2903805	Boa Vista do Tupim	0.0000	0.5116	0.6747	0.5203	0.4266
2900306	Acajutiba	0.0000	0.5496	0.6688	0.4893	0.4269
2900405	Água Fria	0.0000	0.5317	0.6665	0.5102	0.4271
2930402	Serra Preta	0.0000	0.5316	0.6683	0.5098	0.4274
2901304	Andaraí	0.0000	0.5117	0.6983	0.5044	0.4286
2900207	Abaré	0.0000	0.5486	0.6453	0.5219	0.4290
2920205	Malhada	0.0000	0.5344	0.6857	0.4968	0.4292
2906600	Candiba	0.0000	0.5753	0.6998	0.4432	0.4296
2931806	Tremedal	0.0000	0.5365	0.6910	0.4915	0.4297
2925600	Presidente Dutra	0.0000	0.5587	0.6729	0.4876	0.4298
2925907	Quijingue	0.0000	0.5402	0.6646	0.5152	0.4300
2912707	Ibirapitanga	0.0000	0.5395	0.6637	0.5172	0.4301
2921401	Mirangaba	0.0000	0.5088	0.7030	0.5094	0.4303
2921807	Mortugaba	0.0000	0.5554	0.6832	0.4849	0.4309
2916906	Itiruçu	0.0000	0.5793	0.6426	0.5022	0.4310
2902500	Baianópolis	0.0000	0.5320	0.7074	0.4913	0.4327
2924306	Piatã	0.0000	0.5647	0.6801	0.4873	0.4330
2903003	Barra do Mendes	0.0000	0.5364	0.7225	0.4744	0.4333
2901601	Antas	0.0000	0.5618	0.6847	0.4881	0.4337
2930600	Serrolândia	0.0000	0.5572	0.6791	0.5002	0.4341
2916203	Itapé	0.0000	0.5462	0.6879	0.5031	0.4343
2926806	Rio do Antônio	0.0000	0.5491	0.6938	0.4960	0.4347
2917334	Iuiu	0.0000	0.5812	0.6882	0.4707	0.4350
2912004	Ibiassucê	0.0000	0.5559	0.6972	0.4911	0.4361
2924603	Pindobaçu	0.0000	0.5521	0.6847	0.5094	0.4365
2918308	Jitaúna	0.0000	0.5618	0.6764	0.5091	0.4368
2914109	Ipupiara	0.0000	0.5641	0.7050	0.4796	0.4372
